code,name,system,signal,entry_signal,fresh_entry_signal,exit_signal,watch_signal,close,n_high,n_low,n_high_ratio,atr,high,entry_price
BTC,BTC,System1(단기),관심,False,False,False,True,115720000.0,117639000.0,102111000.0,0.992,2860450.0,,
BTC,BTC,System2(중장기),관심,False,False,False,True,115720000.0,117639000.0,102111000.0,0.992,2860450.0,,
ETC,ETC,System2(중장기),진입,True,True,False,False,12570.0,12530.0,9690.0,1.008,654.0,,
QTUM,QTUM,System1(단기),관심,False,False,False,True,1348.0,1363.0,1150.0,0.99,60.95,,
QTUM,QTUM,System2(중장기),관심,False,False,False,True,1348.0,1363.0,1113.0,0.99,60.95,,
ZRX,ZRX,System1(단기),진입,True,True,False,False,164.0,164.0,142.0,1.0,8.7,,
ZRX,ZRX,System2(중장기),진입,True,True,False,False,164.0,164.0,131.0,1.0,8.7,,
VET,VET,System1(단기),관심,False,False,False,True,12.39,12.52,8.71,0.994,0.89,,
VET,VET,System2(중장기),관심,False,False,False,True,12.39,12.52,8.71,0.994,0.89,,
BSV,BSV,System1(단기),진입,True,True,False,False,28020.0,27890.0,21260.0,1.05,1218.0,,
BSV,BSV,System2(중장기),진입,True,True,False,False,28020.0,27890.0,21260.0,1.05,1218.0,,
COMP,COMP,System1(단기),진입,True,True,False,False,30890.0,30750.0,25290.0,1.005,1251.0,,
COMP,COMP,System2(중장기),진입,True,True,False,False,30890.0,30750.0,25290.0,1.005,1251.0,,
MANA,MANA,System1(단기),진입,True,True,False,False,117.0,117.0,95.3,1.009,4.93,,
MANA,MANA,System2(중장기),진입,True,True,False,False,117.0,117.0,95.0,1.009,4.93,,
AXS,AXS,System2(중장기),확정,False,False,False,True,1525.0,1532.0,1213.0,0.999,62.8,,1532.0
USDS,USDS,System1(단기),청산,False,False,True,False,1341.0,1408.0,1343.0,0.972,22.1,,
USDS,USDS,System2(중장기),청산,False,False,True,False,1341.0,1457.0,1343.0,0.939,22.1,,
ONT,ONT,System1(단기),관심,False,False,False,True,76.9,77.42,64.99,0.993,3.81,,
KAIA,KAIA,System1(단기),관심,False,False,False,True,44.27,44.75,36.17,0.99,2.27,,
NFT,NFT,System1(단기),청산,False,False,True,False,0.0,0.0,0.0,1.0,0.0,,
NFT,NFT,System2(중장기),청산,False,False,True,False,0.0,0.0,0.0,1.0,0.0,,
XEC,XEC,System1(단기),관심,False,False,False,True,0.01,0.01,0.01,0.992,0.0,,
XEC,XEC,System2(중장기),관심,False,False,False,True,0.01,0.01,0.01,0.992,0.0,,
1INCH,1INCH,System1(단기),관심,False,False,False,True,137.0,139.0,117.0,0.993,5.6,,
1INCH,1INCH,System2(중장기),관심,False,False,False,True,137.0,139.0,117.0,0.993,5.6,,
APE,APE,System2(중장기),관심,False,False,False,True,210.0,216.0,165.0,0.995,9.15,,
FLR,FLR,System1(단기),관심,False,False,False,True,9.57,9.65,8.46,0.997,0.34,,
APT,APT,System1(단기),확정,False,False,False,True,1060.0,1081.0,719.0,0.995,72.4,,1084.0
APT,APT,System2(중장기),확정,False,False,False,True,1060.0,1081.0,719.0,0.995,72.4,,1084.0
OP,OP,System1(단기),탈락,False,False,False,True,179.0,180.0,125.0,0.994,11.8,,
OP,OP,System2(중장기),탈락,False,False,False,True,179.0,180.0,125.0,0.994,11.8,,
CFX,CFX,System1(단기),확정,False,False,False,True,72.86,73.24,59.83,0.997,3.06,,73.4
ACS,ACS,System1(단기),관심,False,False,False,True,0.23,0.23,0.19,1.0,0.01,,
FLOKI,FLOKI,System1(단기),확정,False,False,False,True,0.04,0.04,0.03,0.993,0.0,,0.04
MAV,MAV,System1(단기),탈락,False,False,False,True,15.76,15.83,13.14,0.996,0.71,,
AUCTION,AUCTION,System1(단기),진입,True,True,False,False,5065.0,5050.0,4217.0,1.012,236.4,,
USDT,USDT,System1(단기),청산,False,False,True,False,1343.0,1383.0,1343.0,0.975,11.1,,
USDT,USDT,System2(중장기),청산,False,False,True,False,1343.0,1443.0,1343.0,0.935,11.1,,
USDC,USDC,System1(단기),청산,False,False,True,False,1342.0,1384.0,1342.0,0.975,11.6,,
USDC,USDC,System2(중장기),청산,False,False,True,False,1342.0,1446.0,1342.0,0.933,11.6,,
JTO,JTO,System1(단기),진입,True,True,False,False,703.0,702.0,542.0,1.014,51.75,,
MOCA,MOCA,System1(단기),관심,False,False,False,True,13.86,14.14,11.49,0.992,0.67,,
MOCA,MOCA,System2(중장기),관심,False,False,False,True,13.86,14.14,11.47,0.992,0.67,,
MEW,MEW,System1(단기),관심,False,False,False,True,0.65,0.65,0.51,0.99,0.03,,
BRETT,BRETT,System1(단기),탈락,False,False,False,True,7.91,7.98,6.19,0.999,0.51,,
ME,ME,System1(단기),진입,True,True,False,False,104.0,104.0,80.81,1.0,4.35,,
ME,ME,System2(중장기),진입,True,True,False,False,104.0,104.0,80.81,1.0,4.35,,
THE,THE,System1(단기),관심,False,False,False,True,111.0,113.0,86.64,0.991,6.95,,
THE,THE,System2(중장기),관심,False,False,False,True,111.0,113.0,85.24,0.991,6.95,,
ERA,ERA,System1(단기),확정,False,False,False,True,91.19,91.53,73.78,0.998,3.53,,91.71
SHELL,SHELL,System1(단기),진입,True,True,False,False,36.85,36.79,26.61,1.015,1.85,,
SHELL,SHELL,System2(중장기),진입,True,True,False,False,36.85,36.79,26.61,1.015,1.85,,
BIO,BIO,System1(단기),진입,True,True,False,False,39.26,39.18,32.63,1.011,2.01,,
FLOCK,FLOCK,System1(단기),관심,False,False,False,True,119.0,130.0,80.0,0.992,20.37,,
FLOCK,FLOCK,System2(중장기),관심,False,False,False,True,119.0,130.0,47.32,0.992,20.37,,
SOON,SOON,System1(단기),진입,True,True,False,False,267.0,266.0,234.0,1.011,11.55,,
WAL,WAL,System1(단기),관심,False,False,False,True,47.33,47.9,34.88,0.992,2.86,,
WAL,WAL,System2(중장기),관심,False,False,False,True,47.33,47.9,33.34,0.992,2.86,,
FORT,FORT,System1(단기),관심,False,False,False,True,21.52,21.66,19.01,0.994,0.68,,
USD1,USD1,System1(단기),청산,False,False,True,False,1341.0,1425.0,1344.0,0.947,17.8,,
USD1,USD1,System2(중장기),청산,False,False,True,False,1341.0,1446.0,1344.0,0.933,17.8,,
FLUID,FLUID,System1(단기),관심,False,False,False,True,1904.0,1919.0,1435.0,0.995,97.8,,
SUPER,SUPER,System1(단기),진입,True,True,False,False,212.0,212.0,149.0,1.0,12.4,,
SUPER,SUPER,System2(중장기),진입,True,True,False,False,212.0,212.0,143.0,1.0,12.4,,
ZKP,ZKP,System1(단기),관심,False,False,False,True,68.34,68.78,55.36,0.996,3.29,,
MEGA,MEGA,System1(단기),관심,False,False,False,True,61.55,64.4,45.45,0.994,4.23,,
MEGA,MEGA,System2(중장기),관심,False,False,False,True,61.55,64.4,45.45,0.994,4.23,,
ID,ID,System1(단기),확정,False,False,False,True,51.72,52.12,40.09,0.995,2.77,,52.12
ID,ID,System2(중장기),확정,False,False,False,True,51.72,52.12,40.09,0.995,2.77,,52.12
CKB,CKB,System1(단기),확정,False,False,False,True,1.74,1.74,1.42,0.998,0.11,,1.74
CKB,CKB,System2(중장기),확정,False,False,False,True,1.74,1.74,1.34,0.998,0.11,,1.74
GRT,GRT,System1(단기),확정,False,False,False,True,32.19,32.5,23.13,0.99,1.79,,32.54
GRT,GRT,System2(중장기),확정,False,False,False,True,32.19,32.5,22.02,0.99,1.79,,32.54
CHZ,CHZ,System1(단기),확정,False,False,False,True,21.69,21.7,18.06,1.0,1.08,,21.71
CHZ,CHZ,System2(중장기),확정,False,False,False,True,21.69,21.7,17.95,1.0,1.08,,21.71
AXS,AXS,System1(단기),확정,False,False,False,True,1450.0,1462.0,1213.0,0.992,58.75,,1463.0
C98,C98,System1(단기),확정,False,False,False,True,22.28,22.4,17.83,0.995,1.04,,22.51
FLUX,FLUX,System1(단기),확정,False,False,False,True,84.85,85.71,69.2,0.994,4.23,,86.0
FLUX,FLUX,System2(중장기),확정,False,False,False,True,84.85,85.71,65.05,0.994,4.23,,86.0
INIT,INIT,System1(단기),확정,False,False,False,True,115.0,116.0,84.74,0.991,6.48,,116.0
INIT,INIT,System2(중장기),확정,False,False,False,True,115.0,116.0,80.22,0.991,6.48,,116.0
HYPER,HYPER,System1(단기),확정,False,False,False,True,101.0,103.0,87.01,0.99,5.42,,103.0
ZBT,ZBT,System1(단기),확정,False,False,False,True,118.0,119.0,101.0,0.992,4.75,,119.0
ETC,ETC,System1(단기),확정,False,False,False,True,11670.0,12260.0,9690.0,0.992,642.5,,12320.0
ATH,ATH,System1(단기),확정,False,False,False,True,7.4,7.63,5.6,0.997,0.44,,7.64
ATH,ATH,System2(중장기),확정,False,False,False,True,7.4,7.64,5.6,0.997,0.44,,7.64
UOS,UOS,System1(단기),확정,False,False,False,True,4.98,4.99,4.22,0.999,0.28,,4.99
MERL,MERL,System1(단기),확정,False,False,False,True,37.45,37.53,29.7,0.998,2.89,,37.6
MERL,MERL,System2(중장기),확정,False,False,False,True,37.45,37.53,26.8,0.998,2.89,,37.6
BAT,BAT,System1(단기),확정,False,False,False,True,114.0,115.0,94.53,0.991,5.83,,115.0
BAT,BAT,System2(중장기),확정,False,False,False,True,114.0,115.0,91.85,0.991,5.83,,115.0
ALICE,ALICE,System1(단기),확정,False,False,False,True,192.0,193.0,169.0,0.995,8.2,,193.0
PUFFER,PUFFER,System1(단기),확정,False,False,False,True,40.0,42.3,24.06,0.999,5.55,,42.39
PUFFER,PUFFER,System2(중장기),확정,False,False,False,True,40.0,42.3,17.51,0.999,5.55,,42.39
EIGEN,EIGEN,System1(단기),확정,False,False,False,True,328.0,330.0,255.0,0.997,24.0,,330.0
EIGEN,EIGEN,System2(중장기),확정,False,False,False,True,328.0,330.0,255.0,0.997,24.0,,330.0
AKT,AKT,System2(중장기),확정,False,False,False,True,808.0,845.0,667.0,0.994,50.85,,845.0
BNB,BNB,System1(단기),확정,False,False,False,True,1061000.0,1065000.0,963500.0,0.996,33950.0,,1065000.0
BNB,BNB,System2(중장기),확정,False,False,False,True,1061000.0,1065000.0,936000.0,0.996,33950.0,,1065000.0
SEI,SEI,System2(중장기),확정,False,False,False,True,69.2,70.14,55.94,0.992,3.86,,70.17
PHA,PHA,System1(단기),확정,False,False,False,True,49.4,50.6,32.74,0.993,3.68,,50.62
PHA,PHA,System2(중장기),확정,False,False,False,True,49.4,50.6,32.63,0.993,3.68,,50.62
STRK,STRK,System1(단기),확정,False,False,False,True,65.11,65.64,35.63,0.992,4.88,,65.72
STRK,STRK,System2(중장기),확정,False,False,False,True,65.11,65.64,34.8,0.992,4.88,,65.72
ALGO,ALGO,System2(중장기),확정,False,False,False,True,144.0,145.0,116.0,0.993,8.15,,145.0
IRYS,IRYS,System1(단기),확정,False,False,False,True,20.38,20.54,17.77,0.996,0.86,,20.54
DYDX,DYDX,System2(중장기),확정,False,False,False,True,184.0,186.0,138.0,0.995,9.55,,186.0
PROVE,PROVE,System1(단기),확정,False,False,False,True,305.0,306.0,242.0,0.997,13.35,,306.0
PROVE,PROVE,System2(중장기),확정,False,False,False,True,305.0,306.0,235.0,0.997,13.35,,306.0
OPG,OPG,System1(단기),확정,False,False,False,True,154.0,155.0,128.0,0.994,7.15,,155.0
OPG,OPG,System2(중장기),확정,False,False,False,True,154.0,155.0,126.0,0.994,7.15,,155.0
STX,STX,System2(중장기),확정,False,False,False,True,395.0,399.0,311.0,0.992,27.0,,399.0
AWE,AWE,System1(단기),확정,False,False,False,True,87.87,88.17,78.81,1.0,2.5,,88.5
CTK,CTK,System1(단기),확정,False,False,False,True,168.0,171.0,132.0,0.994,8.55,,171.0
HP,HP,System1(단기),확정,False,False,False,True,11.3,11.4,9.82,1.246,0.78,14.21,11.41
MBX,MBX,System2(중장기),확정,False,False,False,True,41.27,45.56,11.35,1.195,4.25,54.45,45.75
COS,COS,System1(단기),확정,False,False,False,True,0.27,0.29,0.22,1.06,0.02,0.3,0.29
CRTS,CRTS,System1(단기),확정,False,False,False,True,0.06,0.06,0.05,1.085,0.0,0.07,0.06
