code,name,system,signal,entry_signal,fresh_entry_signal,exit_signal,watch_signal,close,n_high,n_low,n_high_ratio,atr,high,entry_price
0000Y0,HK 26-12 회사채(AA-이상)액티브,System1(단기),진입,True,True,False,False,102060.0,102015.0,101910.0,1.0,23.5,,
0000Y0,HK 26-12 회사채(AA-이상)액티브,System2(중장기),진입,True,True,False,False,102060.0,102015.0,101790.0,1.0,23.5,,
000157,두산2우B,System1(단기),진입,True,True,False,False,399500.0,399000.0,328000.0,1.011,17325.0,,
000040,KR모터스,System1(단기),청산,False,False,True,False,1014.0,1539.0,1032.0,0.692,141.9,,
000100,유한양행,System1(단기),청산,False,False,True,False,75300.0,87100.0,75200.0,0.873,2392.5,,
000100,유한양행,System2(중장기),청산,False,False,True,False,75300.0,87500.0,75200.0,0.869,2392.5,,
000050,경방,System1(단기),청산,False,False,True,False,7940.0,8350.0,7970.0,0.964,169.5,,
000050,경방,System2(중장기),청산,False,False,True,False,7940.0,9250.0,7970.0,0.87,169.5,,
000087,하이트진로2우B,System1(단기),청산,False,False,True,False,12270.0,13000.0,12250.0,0.95,179.75,,
0002C0,에셋플러스 인도일등기업포커스20액티브,System1(단기),관심,False,False,False,True,10130.0,10240.0,9540.0,0.999,180.5,,
000210,DL,System1(단기),청산,False,False,True,False,51800.0,56600.0,51400.0,0.935,2477.5,,
000370,한화손해보험,System1(단기),청산,False,False,True,False,7850.0,9290.0,7800.0,0.874,484.75,,
0005A0,KODEX 미국S&P500데일리커버드콜OTM,System1(단기),관심,False,False,False,True,9335.0,9499.0,9055.0,0.995,80.5,,
000590,CS홀딩스,System1(단기),관심,False,False,False,True,67300.0,68600.0,65600.0,0.991,1405.0,,
0007F0,KODEX 27-12 회사채(AA-이상)액티브,System1(단기),관심,False,False,False,True,10185.0,10210.0,10175.0,0.998,15.5,,
0007F0,KODEX 27-12 회사채(AA-이상)액티브,System2(중장기),관심,False,False,False,True,10185.0,10210.0,10170.0,0.998,15.5,,
001020,페이퍼코리아,System1(단기),청산,False,False,True,False,2040.0,2705.0,2010.0,0.811,209.75,,
001020,페이퍼코리아,System2(중장기),청산,False,False,True,False,2040.0,2790.0,2010.0,0.787,209.75,,
001067,JW중외제약2우B,System1(단기),진입,True,True,False,False,50400.0,50300.0,47600.0,1.002,737.5,,
001067,JW중외제약2우B,System2(중장기),진입,True,True,False,False,50400.0,50300.0,45600.0,1.002,737.5,,
001130,대한제분,System1(단기),청산,False,False,True,False,10960.0,11980.0,10860.0,0.966,260.5,,
001130,대한제분,System2(중장기),청산,False,False,True,False,10960.0,12080.0,10860.0,0.958,260.5,,
0013P0,RISE 미국은행TOP10,System1(단기),청산,False,False,True,False,12335.0,13054.0,12315.0,0.965,190.45,,
0013P0,RISE 미국은행TOP10,System2(중장기),청산,False,False,True,False,12335.0,14805.0,12315.0,0.851,190.45,,
001275,부국증권우,System1(단기),청산,False,False,True,True,30050.0,30550.0,30050.0,0.997,192.5,,
001275,부국증권우,System2(중장기),청산,False,False,True,False,30050.0,31400.0,30050.0,0.97,192.5,,
001390,KG케미칼,System1(단기),청산,False,False,True,False,4255.0,4555.0,4255.0,0.944,112.25,,
001450,현대해상,System1(단기),청산,False,False,True,False,47300.0,54700.0,47500.0,0.895,2412.5,,
001450,현대해상,System2(중장기),청산,False,False,True,False,47300.0,54700.0,47500.0,0.895,2412.5,,
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H,System2(중장기),관심,False,False,False,True,10540.0,11226.0,10295.0,0.991,138.7,,
001470,삼부토건,System1(단기),진입,True,True,True,False,5820.0,5820.0,0.0,0.0,4365.0,,
001470,삼부토건,System2(중장기),진입,True,True,True,False,5820.0,5820.0,0.0,0.0,4365.0,,
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H,System1(단기),관심,False,False,False,True,10562.0,11060.0,10090.0,0.994,236.15,,
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H,System2(중장기),관심,False,False,False,True,10562.0,11060.0,10090.0,0.994,236.15,,
001530,DI동일,System1(단기),청산,False,False,True,False,24850.0,29600.0,25350.0,0.867,1622.5,,
0016X0,SOL 중단기회사채(A-이상)액티브,System1(단기),관심,False,False,False,True,51525.0,51545.0,51455.0,1.0,31.75,,
0016X0,SOL 중단기회사채(A-이상)액티브,System2(중장기),관심,False,False,False,True,51525.0,51545.0,51455.0,1.0,31.75,,
001680,대상,System1(단기),청산,False,False,True,False,17710.0,19590.0,17650.0,0.909,510.0,,
0017Y0,1Q 종합채권(AA-이상)액티브,System1(단기),관심,False,False,False,True,93940.0,94285.0,93070.0,0.997,244.75,,
0017Y0,1Q 종합채권(AA-이상)액티브,System2(중장기),관심,False,False,False,True,93940.0,94620.0,93070.0,0.993,244.75,,
0018C0,PLUS 고배당주위클리고정커버드콜,System1(단기),청산,False,False,True,False,10420.0,10913.0,10445.0,0.963,177.55,,
001720,신영증권,System1(단기),청산,False,False,True,False,139600.0,161000.0,139900.0,0.885,4860.0,,
001720,신영증권,System2(중장기),청산,False,False,True,False,139600.0,179000.0,139900.0,0.796,4860.0,,
001770,SHD,System1(단기),청산,False,False,True,False,4935.0,16500.0,4920.0,0.319,2244.5,,
001770,SHD,System2(중장기),청산,False,False,True,False,4935.0,18630.0,4920.0,0.283,2244.5,,
001800,오리온홀딩스,System1(단기),청산,False,False,True,False,23850.0,26450.0,23950.0,0.913,722.5,,
001800,오리온홀딩스,System2(중장기),청산,False,False,True,False,23850.0,28750.0,23950.0,0.84,722.5,,
002210,동성제약,System1(단기),청산,False,False,True,False,1328.0,1567.0,1321.0,0.853,60.9,,
002210,동성제약,System2(중장기),청산,False,False,True,False,1328.0,2525.0,1321.0,0.529,60.9,,
002220,한일철강,System1(단기),청산,False,False,True,False,2915.0,3230.0,2850.0,0.913,128.25,,
002320,한진,System1(단기),청산,False,False,True,False,14240.0,16000.0,14330.0,0.912,395.0,,
002320,한진,System2(중장기),청산,False,False,True,False,14240.0,17050.0,14330.0,0.856,395.0,,
0025N0,TIGER TDF2045 적격,System1(단기),관심,False,False,False,True,11965.0,12125.0,11655.0,0.995,78.5,,
0026E0,KODEX 미국S&P500버퍼3월액티브,System1(단기),관심,False,False,False,True,11570.0,11805.0,11365.0,0.997,73.25,,
0026S0,1Q 미국S&P500,System1(단기),관심,False,False,False,True,12805.0,12953.0,12370.0,1.0,105.55,,
002700,신일전자,System1(단기),청산,False,False,True,False,931.0,1014.0,930.0,0.924,18.2,,
002700,신일전자,System2(중장기),청산,False,False,True,False,931.0,1430.0,930.0,0.655,18.2,,
002795,아모레퍼시픽홀딩스우,System1(단기),진입,True,True,False,False,11400.0,11350.0,10820.0,1.005,198.5,,
002820,SUN&L,System1(단기),청산,False,False,True,False,1412.0,1830.0,1392.0,0.796,144.95,,
002820,SUN&L,System2(중장기),청산,False,False,True,False,1412.0,2485.0,1392.0,0.586,144.95,,
003030,세아제강지주,System1(단기),관심,False,False,False,True,107300.0,111000.0,102800.0,0.99,3985.0,,
003220,대원제약,System1(단기),청산,False,False,True,False,7840.0,8960.0,7770.0,0.891,230.0,,
003465,유화증권우,System1(단기),청산,False,False,True,False,2965.0,3285.0,2960.0,0.903,93.5,,
003465,유화증권우,System2(중장기),청산,False,False,True,False,2965.0,3310.0,2960.0,0.896,93.5,,
003520,영진약품,System1(단기),청산,False,False,True,False,1033.0,1202.0,1010.0,0.86,34.6,,
003520,영진약품,System2(중장기),청산,False,False,True,False,1033.0,1326.0,1010.0,0.78,34.6,,
0036Z0,RISE 미국천연가스밸류체인,System1(단기),청산,False,False,True,False,12150.0,12775.0,12190.0,0.973,189.25,,
0036Z0,RISE 미국천연가스밸류체인,System2(중장기),청산,False,False,True,False,12150.0,13639.0,12180.0,0.911,189.25,,
0038A0,KODEX 미국휴머노이드로봇,System1(단기),진입,True,True,False,False,15610.0,15540.0,14345.0,1.025,242.0,,
003680,한성기업,System1(단기),청산,False,False,True,False,4635.0,5190.0,4605.0,0.898,193.0,,
003680,한성기업,System2(중장기),청산,False,False,True,False,4635.0,17340.0,4605.0,0.269,193.0,,
003850,보령,System1(단기),청산,False,False,True,False,8430.0,9370.0,8180.0,0.956,354.5,,
003850,보령,System2(중장기),청산,False,False,True,False,8430.0,9370.0,8180.0,0.956,354.5,,
003920,남양유업,System1(단기),청산,False,False,True,False,42600.0,44850.0,42000.0,0.964,1092.5,,
003920,남양유업,System2(중장기),청산,False,False,True,False,42600.0,46400.0,42000.0,0.932,1092.5,,
0040X0,SOL 팔란티어미국채커버드콜혼합,System1(단기),관심,False,False,False,True,9425.0,9630.0,8910.0,0.993,132.65,,
004000,롯데정밀화학,System1(단기),청산,False,False,True,False,43900.0,49050.0,44250.0,0.915,1417.5,,
004000,롯데정밀화학,System2(중장기),청산,False,False,True,False,43900.0,49800.0,44250.0,0.902,1417.5,,
003960,사조대림,System1(단기),청산,False,False,True,False,26900.0,31350.0,26750.0,0.863,707.5,,
003960,사조대림,System2(중장기),청산,False,False,True,False,26900.0,32900.0,26750.0,0.822,707.5,,
004105,태양금속우,System1(단기),확정,False,False,False,True,3660.0,3700.0,3310.0,0.999,171.0,,3700.0
004105,태양금속우,System2(중장기),확정,False,False,False,True,3660.0,3700.0,2850.0,0.999,171.0,,3700.0
0043B0,TIGER 머니마켓액티브,System1(단기),진입,True,True,False,False,103762.0,103720.0,103585.0,1.0,18.0,,
0043B0,TIGER 머니마켓액티브,System2(중장기),진입,True,True,False,False,103762.0,103720.0,103450.0,1.0,18.0,,
004255,NPC우,System1(단기),관심,False,False,False,True,1889.0,1905.0,1839.0,0.993,36.9,,
004365,세방우,System1(단기),청산,False,False,True,False,9200.0,9490.0,9190.0,0.969,143.0,,
0046A0,TIGER 미국초단기(3개월이하)국채,System1(단기),청산,False,False,True,False,9420.0,9625.0,9230.0,0.989,86.4,,
0046A0,TIGER 미국초단기(3개월이하)국채,System2(중장기),청산,False,False,True,False,9420.0,10635.0,9230.0,0.895,86.4,,
004540,깨끗한나라,System1(단기),청산,False,False,True,False,1220.0,1375.0,1204.0,0.893,53.85,,
004490,세방전지,System1(단기),청산,False,False,True,False,59500.0,70700.0,58900.0,0.844,3442.5,,
004700,조광피혁,System1(단기),관심,False,False,False,True,66600.0,68400.0,63400.0,0.993,1630.0,,
004700,조광피혁,System2(중장기),관심,False,False,False,True,66600.0,68400.0,63400.0,0.993,1630.0,,
0048J0,KODEX 미국머니마켓액티브,System1(단기),관심,False,False,False,True,13595.0,13860.0,13315.0,0.991,108.4,,
