code,name,system,signal,entry_signal,fresh_entry_signal,exit_signal,watch_signal,close,n_high,n_low,n_high_ratio,atr,high,entry_price
ABBV,ABBV,System1(단기),관심,False,False,False,True,264.48,266.91,246.77,0.999,5.3,,
ABBV,ABBV,System2(중장기),관심,False,False,False,True,264.48,267.47,246.77,0.997,5.3,,
AES,AES,System1(단기),관심,False,False,False,True,14.83,14.88,14.78,0.997,0.04,,
AES,AES,System2(중장기),관심,False,False,False,True,14.83,14.88,14.71,0.997,0.04,,
A,A,System1(단기),관심,False,False,False,True,161.94,163.75,141.25,0.995,4.49,,
A,A,System2(중장기),관심,False,False,False,True,161.94,163.75,141.25,0.995,4.49,,
APD,APD,System1(단기),청산,False,False,True,False,279.46,313.93,281.23,0.906,5.47,,
APD,APD,System2(중장기),청산,False,False,True,False,279.46,314.87,281.23,0.903,5.47,,
ABNB,ABNB,System1(단기),청산,False,False,True,False,166.84,193.45,164.79,0.868,4.64,,
ABNB,ABNB,System2(중장기),청산,False,False,True,False,166.84,193.45,164.79,0.868,4.64,,
ALGN,ALGN,System1(단기),청산,False,False,True,False,146.88,162.92,146.2,0.911,4.48,,
ALGN,ALGN,System2(중장기),청산,False,False,True,False,146.88,190.97,146.2,0.777,4.48,,
LNT,LNT,System1(단기),청산,False,False,True,False,64.97,70.51,65.56,0.932,0.99,,
LNT,LNT,System2(중장기),청산,False,False,True,False,64.97,78.22,65.56,0.84,0.99,,
ALL,ALL,System1(단기),청산,False,False,True,False,242.86,266.45,247.78,0.944,5.08,,
ALL,ALL,System2(중장기),청산,False,False,True,False,242.86,276.07,247.78,0.911,5.08,,
GOOGL,GOOGL,System1(단기),관심,False,False,False,True,354.97,359.44,327.74,0.995,7.78,,
GOOG,GOOG,System1(단기),관심,False,False,False,True,350.87,355.13,325.63,0.995,7.48,,
AEE,AEE,System1(단기),청산,False,False,True,False,101.83,108.9,102.21,0.94,1.53,,
AEE,AEE,System2(중장기),청산,False,False,True,False,101.83,115.58,102.21,0.886,1.53,,
AEP,AEP,System1(단기),청산,False,False,True,False,120.03,126.34,119.71,0.956,1.84,,
AEP,AEP,System2(중장기),청산,False,False,True,False,120.03,139.52,119.71,0.865,1.84,,
AWK,AWK,System1(단기),청산,False,False,True,False,133.97,142.37,135.44,0.955,2.64,,
AWK,AWK,System2(중장기),청산,False,False,True,False,133.97,142.37,135.04,0.955,2.64,,
AON,AON,System1(단기),청산,False,False,True,False,290.82,361.73,293.0,0.823,9.2,,
AON,AON,System2(중장기),청산,False,False,True,False,290.82,381.47,293.0,0.781,9.2,,
AAPL,AAPL,System1(단기),진입,True,True,False,False,338.98,338.49,309.9,1.003,7.21,,
